"id","title","authors","price","rating","link"
143,"Data Analytics for Engineering and Construction Project Risk Management","Ivan Damnjanovic, Kenneth Reinschmidt","Not Available","No Rating","https://play.google.com/store/books/details?id=uv-ZDwAAQBAJ&source=gbs_api"
144,"Systems, Patterns and Data Engineering with Geometric Calculi","Sebastià Xambó-Descamps","Not Available","No Rating","https://play.google.com/store/books/details?id=RvI4EAAAQBAJ&source=gbs_api"
145,"Data Science from Scratch","Joel Grus","Not Available","5","http://books.google.co.in/books?id=24kdCAAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
146,"Architecting Modern Data Platforms","Jan Kunigk, Ian Buss, Paul Wilkinson, Lars George","Not Available","No Rating","https://play.google.com/store/books/details?id=1qd9DwAAQBAJ&source=gbs_api"
147,"Computational Methods and Data Engineering","Vijendra Singh, Vijayan K. Asari, Sanjay Kumar, R. B. Patel","Not Available","No Rating","https://play.google.com/store/books/details?id=a374DwAAQBAJ&source=gbs_api"
148,"Intelligent Data Engineering and Analytics","Suresh Chandra Satapathy, Yu-Dong Zhang, Vikrant Bhateja, Ritanjali Majhi","Not Available","No Rating","https://play.google.com/store/books/details?id=lQ36DwAAQBAJ&source=gbs_api"
219,"Engineering Data on Mixing","Reiji Reiji Mezaki, Masafumi Masafumi Mochizuki, Kohei Ogawa","Not Available","No Rating","https://play.google.com/store/books/details?id=6PDnxdmwlKUC&source=gbs_api"
149,"Big Data Analytics in Traffic and Transportation Engineering: Emerging Research and Opportunities","Moridpour, Sara, Toran Pour, Alireza, Saghapour, Tayebeh","Not Available","No Rating","https://play.google.com/store/books/details?id=MvGCDwAAQBAJ&source=gbs_api"
150,"Systems, Patterns and Data Engineering with Geometric Calculi","Sebastià Xambó-Descamps","Not Available","No Rating","https://play.google.com/store/books/details?id=RvI4EAAAQBAJ&source=gbs_api"
151,"Sharing Data and Models in Software Engineering","Tim Menzies, Ekrem Kocaguneli, Burak Turhan, Leandro Minku, Fayola Peters","Not Available","No Rating","https://play.google.com/store/books/details?id=Qj3LAwAAQBAJ&source=gbs_api"
152,"Enterprise Big Data Engineering, Analytics, and Management","Atzmueller, Martin","Not Available","No Rating","https://play.google.com/store/books/details?id=P5BJDAAAQBAJ&source=gbs_api"
153,"Enterprise Big Data Engineering, Analytics, and Management","Atzmueller, Martin","Not Available","No Rating","https://play.google.com/store/books/details?id=P5BJDAAAQBAJ&source=gbs_api"
154,"Proceedings of the International Conference on Data Engineering and Communication Technology","Suresh Chandra Satapathy, Vikrant Bhateja, Amit Joshi","Not Available","5","https://play.google.com/store/books/details?id=e7_mDAAAQBAJ&source=gbs_api"
155,"Reference Data for Engineers","Mac E. Van Valkenburg, Wendy M. Middleton","Not Available","5","http://books.google.co.in/books?id=R67HARlhisYC&dq=data+engineering&hl=&source=gbs_api"
156,"Intelligent Data Engineering and Analytics","Suresh Chandra Satapathy, Yu-Dong Zhang, Vikrant Bhateja, Ritanjali Majhi","Not Available","No Rating","https://play.google.com/store/books/details?id=lQ36DwAAQBAJ&source=gbs_api"
157,"Architecting Modern Data Platforms","Jan Kunigk, Ian Buss, Paul Wilkinson, Lars George","Not Available","No Rating","https://play.google.com/store/books/details?id=1qd9DwAAQBAJ&source=gbs_api"
158,"Engineering Data on Mixing","Reiji Reiji Mezaki, Masafumi Masafumi Mochizuki, Kohei Ogawa","Not Available","No Rating","https://play.google.com/store/books/details?id=6PDnxdmwlKUC&source=gbs_api"
159,"Big Data in Engineering Applications","Sanjiban Sekhar Roy, Pijush Samui, Ravinesh Deo, Stavros Ntalampiras","Not Available","5","https://play.google.com/store/books/details?id=3XZZDwAAQBAJ&source=gbs_api"
160,"Big Data in Engineering Applications","Sanjiban Sekhar Roy, Pijush Samui, Ravinesh Deo, Stavros Ntalampiras","Not Available","5","https://play.google.com/store/books/details?id=3XZZDwAAQBAJ&source=gbs_api"
161,"Sharing Data and Models in Software Engineering","Tim Menzies, Ekrem Kocaguneli, Burak Turhan, Leandro Minku, Fayola Peters","Not Available","No Rating","https://play.google.com/store/books/details?id=Qj3LAwAAQBAJ&source=gbs_api"
162,"Intelligent Data Engineering and Automated Learning – IDEAL 2020","Cesar Analide, Paulo Novais, David Camacho, Hujun Yin","Not Available","No Rating","https://play.google.com/store/books/details?id=NScGEAAAQBAJ&source=gbs_api"
163,"Data Engineering and Data Science","Kukatlapalli Pradeep Kumar, Aynur Unal, Vinay Jha Pillai, Hari Murthy, M. Niranjanamurthy","Not Available","No Rating","https://play.google.com/store/books/details?id=5wfUEAAAQBAJ&source=gbs_api"
164,"Advanced Data Analysis and Modelling in Chemical Engineering","Denis Constales, Gregory S. Yablonsky, Dagmar R. D'hooge, Joris W. Thybaut, Guy B. Marin","Not Available","No Rating","https://play.google.com/store/books/details?id=IQ6dBAAAQBAJ&source=gbs_api"
165,"Recent Advances in Artificial Intelligence and Data Engineering","Pushparaj Shetty D., Surendra Shetty","Not Available","No Rating","https://play.google.com/store/books/details?id=6bJLEAAAQBAJ&source=gbs_api"
166,"Reference Data for Engineers","Mac E. Van Valkenburg, Wendy M. Middleton","Not Available","5","http://books.google.co.in/books?id=R67HARlhisYC&dq=data+engineering&hl=&source=gbs_api"
167,"Data Science in Engineering and Management","Zdzislaw Polkowski, Sambit Kumar Mishra, Julian Vasilev","Not Available","No Rating","http://books.google.co.in/books?id=_vNUEAAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
168,"Data Analytics for Engineering and Construction Project Risk Management","Ivan Damnjanovic, Kenneth Reinschmidt","Not Available","No Rating","https://play.google.com/store/books/details?id=uv-ZDwAAQBAJ&source=gbs_api"
169,"Intelligent Data Engineering and Automated Learning – IDEAL 2020","Cesar Analide, Paulo Novais, David Camacho, Hujun Yin","Not Available","No Rating","https://play.google.com/store/books/details?id=NScGEAAAQBAJ&source=gbs_api"
170,"Data Engineering on Azure","Vlad Riscutia","Not Available","No Rating","http://books.google.co.in/books?id=q1Q5EAAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
171,"The Definitive Guide to Azure Data Engineering","Ron C. L'Esteve","Not Available","No Rating","http://books.google.co.in/books?id=vWx1zgEACAAJ&dq=data+engineering&hl=&source=gbs_api"
172,"Computational Methods and Data Engineering","Vijendra Singh, Vijayan K. Asari, Sanjay Kumar, R. B. Patel","Not Available","No Rating","https://play.google.com/store/books/details?id=a374DwAAQBAJ&source=gbs_api"
173,"Engineering Data on Mixing","Reiji Reiji Mezaki, Masafumi Masafumi Mochizuki, Kohei Ogawa","Not Available","No Rating","https://play.google.com/store/books/details?id=6PDnxdmwlKUC&source=gbs_api"
174,"Advanced Data Analysis and Modelling in Chemical Engineering","Denis Constales, Gregory S. Yablonsky, Dagmar R. D'hooge, Joris W. Thybaut, Guy B. Marin","Not Available","No Rating","https://play.google.com/store/books/details?id=IQ6dBAAAQBAJ&source=gbs_api"
175,"Data Engineering with Python","Paul Crickard","Not Available","No Rating","https://play.google.com/store/books/details?id=9RYFEAAAQBAJ&source=gbs_api"
176,"The Self-Service Data Roadmap","Sandeep Uttamchandani","Not Available","No Rating","https://play.google.com/store/books/details?id=pEn8DwAAQBAJ&source=gbs_api"
177,"Data Engineering with Google Cloud Platform","Adi Wijaya","Not Available","No Rating","https://play.google.com/store/books/details?id=AH9gEAAAQBAJ&source=gbs_api"
178,"Data Analytics for Engineering and Construction Project Risk Management","Ivan Damnjanovic, Kenneth Reinschmidt","Not Available","No Rating","https://play.google.com/store/books/details?id=uv-ZDwAAQBAJ&source=gbs_api"
179,"Data Engineering with Apache Spark, Delta Lake, and Lakehouse","Manoj Kukreja, Danil Zburivsky","Not Available","No Rating","https://play.google.com/store/books/details?id=XiJEEAAAQBAJ&source=gbs_api"
180,"Engineering Agile Big-Data Systems","Feeney, Kevin, Davies, Jim, Hellmann, Sebastian","Not Available","No Rating","http://books.google.co.in/books?id=btd8DwAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
181,"Recent Advances in Artificial Intelligence and Data Engineering","Pushparaj Shetty D., Surendra Shetty","Not Available","No Rating","https://play.google.com/store/books/details?id=6bJLEAAAQBAJ&source=gbs_api"
182,"Big Data Analytics in Traffic and Transportation Engineering: Emerging Research and Opportunities","Moridpour, Sara, Toran Pour, Alireza, Saghapour, Tayebeh","Not Available","No Rating","https://play.google.com/store/books/details?id=MvGCDwAAQBAJ&source=gbs_api"
183,"Computational Methods and Data Engineering","Vijendra Singh, Vijayan K. Asari, Sanjay Kumar, R. B. Patel","Not Available","No Rating","https://play.google.com/store/books/details?id=a374DwAAQBAJ&source=gbs_api"
184,"Azure Storage, Streaming, and Batch Analytics","Richard L. Nuckolls","Not Available","No Rating","http://books.google.co.in/books?id=BF4BEAAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
185,"Proceedings of the International Conference on Data Engineering and Communication Technology","Suresh Chandra Satapathy, Vikrant Bhateja, Amit Joshi","Not Available","5","https://play.google.com/store/books/details?id=e7_mDAAAQBAJ&source=gbs_api"
186,"Data Science in Engineering and Management","Zdzislaw Polkowski, Sambit Kumar Mishra, Julian Vasilev","Not Available","No Rating","http://books.google.co.in/books?id=_vNUEAAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
187,"Quantitative Methods of Data Analysis for the Physical Sciences and Engineering","Douglas G. Martinson","Not Available","No Rating","http://books.google.co.in/books?id=5jdqDwAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
188,"Fundamentals of Data Engineering","Joe Reis, Matt Housley","Not Available","No Rating","http://books.google.co.in/books?id=3qd2EAAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
189,"Azure Storage, Streaming, and Batch Analytics","Richard L. Nuckolls","Not Available","No Rating","http://books.google.co.in/books?id=BF4BEAAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
191,"Big Data Analytics in Traffic and Transportation Engineering: Emerging Research and Opportunities","Moridpour, Sara, Toran Pour, Alireza, Saghapour, Tayebeh","Not Available","No Rating","https://play.google.com/store/books/details?id=MvGCDwAAQBAJ&source=gbs_api"
190,"Architecting Modern Data Platforms","Jan Kunigk, Ian Buss, Paul Wilkinson, Lars George","Not Available","No Rating","https://play.google.com/store/books/details?id=1qd9DwAAQBAJ&source=gbs_api"
192,"97 Things Every Data Engineer Should Know","Tobias Macey","Not Available","No Rating","https://play.google.com/store/books/details?id=ZTQzEAAAQBAJ&source=gbs_api"
193,"Proceedings of the International Conference on Data Engineering and Communication Technology","Suresh Chandra Satapathy, Vikrant Bhateja, Amit Joshi","Not Available","5","https://play.google.com/store/books/details?id=e7_mDAAAQBAJ&source=gbs_api"
194,"Sharing Data and Models in Software Engineering","Tim Menzies, Ekrem Kocaguneli, Burak Turhan, Leandro Minku, Fayola Peters","Not Available","No Rating","https://play.google.com/store/books/details?id=Qj3LAwAAQBAJ&source=gbs_api"
195,"The Rails Way","Obie Fernandez","Not Available","No Rating","http://books.google.co.in/books?id=bSfoGQkZYcQC&dq=data+engineering&hl=&source=gbs_api"
196,"Feature Engineering and Selection","Max Kuhn, Kjell Johnson","Not Available","No Rating","https://play.google.com/store/books/details?id=q5alDwAAQBAJ&source=gbs_api"
197,"Architecting Modern Data Platforms","Jan Kunigk, Ian Buss, Paul Wilkinson, Lars George","Not Available","No Rating","https://play.google.com/store/books/details?id=1qd9DwAAQBAJ&source=gbs_api"
198,"Reference Data for Engineers","Mac E. Van Valkenburg, Wendy M. Middleton","Not Available","5","http://books.google.co.in/books?id=R67HARlhisYC&dq=data+engineering&hl=&source=gbs_api"
199,"The Definitive Guide to Azure Data Engineering","Ron C. L'Esteve","Not Available","No Rating","http://books.google.co.in/books?id=vWx1zgEACAAJ&dq=data+engineering&hl=&source=gbs_api"
200,"The Pragmatic Programmer","David Thomas, Andrew Hunt","Not Available","No Rating","https://play.google.com/store/books/details?id=LhOlDwAAQBAJ&source=gbs_api"
201,"Deep Learning and Missing Data in Engineering Systems","Collins Achepsah Leke, Tshilidzi Marwala","Not Available","No Rating","http://books.google.co.in/books?id=8H3augEACAAJ&dq=data+engineering&hl=&source=gbs_api"
202,"Sharing Data and Models in Software Engineering","Tim Menzies, Ekrem Kocaguneli, Burak Turhan, Leandro Minku, Fayola Peters","Not Available","No Rating","https://play.google.com/store/books/details?id=Qj3LAwAAQBAJ&source=gbs_api"
203,"Deep Learning and Missing Data in Engineering Systems","Collins Achepsah Leke, Tshilidzi Marwala","Not Available","No Rating","http://books.google.co.in/books?id=8H3augEACAAJ&dq=data+engineering&hl=&source=gbs_api"
204,"Foundations of data engineering: concepts, principles and practices","Dr. RVS Praveen","Not Available","No Rating","https://play.google.com/store/books/details?id=rgwtEQAAQBAJ&source=gbs_api"
205,"Engineering Data on Mixing","Reiji Reiji Mezaki, Masafumi Masafumi Mochizuki, Kohei Ogawa","Not Available","No Rating","https://play.google.com/store/books/details?id=6PDnxdmwlKUC&source=gbs_api"
206,"Data Pipelines Pocket Reference","James Densmore","Not Available","No Rating","http://books.google.co.in/books?id=SxgcEAAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
207,"Official Google Cloud Certified Professional Data Engineer Study Guide","Dan Sullivan","Not Available","No Rating","https://play.google.com/store/books/details?id=NDXnDwAAQBAJ&source=gbs_api"
208,"Web Scalability for Startup Engineers","Artur Ejsmont","Not Available","No Rating","https://play.google.com/store/books/details?id=rnnlCQAAQBAJ&source=gbs_api"
209,"Quantitative Methods of Data Analysis for the Physical Sciences and Engineering","Douglas G. Martinson","Not Available","No Rating","http://books.google.co.in/books?id=5jdqDwAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
210,"Data-Driven Science and Engineering","Steven L. Brunton, J. Nathan Kutz","Not Available","No Rating","http://books.google.co.in/books?id=rxNkEAAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
211,"Data Teams","Jesse Anderson","Not Available","No Rating","http://books.google.co.in/books?id=6cMhzgEACAAJ&dq=data+engineering&hl=&source=gbs_api"
212,"Data Engineering and Data Science","Kukatlapalli Pradeep Kumar, Aynur Unal, Vinay Jha Pillai, Hari Murthy, M. Niranjanamurthy","Not Available","No Rating","https://play.google.com/store/books/details?id=5wfUEAAAQBAJ&source=gbs_api"
213,"Feature Engineering and Selection","Max Kuhn, Kjell Johnson","Not Available","No Rating","https://play.google.com/store/books/details?id=q5alDwAAQBAJ&source=gbs_api"
214,"Reference Data for Engineers","Mac E. Van Valkenburg, Wendy M. Middleton","Not Available","5","http://books.google.co.in/books?id=R67HARlhisYC&dq=data+engineering&hl=&source=gbs_api"
215,"Azure Data Engineering Cookbook","Ahmad Osama","Not Available","No Rating","https://play.google.com/store/books/details?id=G3UjEAAAQBAJ&source=gbs_api"
216,"Big Data Application in Power Systems","Reza Arghandeh, Yuxun Zhou","Not Available","No Rating","https://play.google.com/store/books/details?id=tBHtEAAAQBAJ&source=gbs_api"
217,"Recent Advances in Artificial Intelligence and Data Engineering","Pushparaj Shetty D., Surendra Shetty","Not Available","No Rating","https://play.google.com/store/books/details?id=6bJLEAAAQBAJ&source=gbs_api"
218,"Data Engineering and Communication Technology","K. Ashoka Reddy, B. Rama Devi, Boby George, K. Srujan Raju","Not Available","No Rating","https://play.google.com/store/books/details?id=48wvEAAAQBAJ&source=gbs_api"
220,"Foundations of data engineering: concepts, principles and practices","Dr. RVS Praveen","Not Available","No Rating","https://play.google.com/store/books/details?id=rgwtEQAAQBAJ&source=gbs_api"
221,"Site Reliability Engineering","Niall Richard Murphy, Betsy Beyer, Chris Jones, Jennifer Petoff","Not Available","5","https://play.google.com/store/books/details?id=tYrPCwAAQBAJ&source=gbs_api"
222,"Data Science in Engineering and Management","Zdzislaw Polkowski, Sambit Kumar Mishra, Julian Vasilev","Not Available","No Rating","http://books.google.co.in/books?id=_vNUEAAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
223,"Emerging Research in Data Engineering Systems and Computer Communications","P. Venkata Krishna, Mohammad S. Obaidat","Not Available","No Rating","https://play.google.com/store/books/details?id=KIvPDwAAQBAJ&source=gbs_api"
224,"Ultimate Data Engineering with Databricks","Mayank Malhotra","Not Available","No Rating","https://play.google.com/store/books/details?id=9hb1EAAAQBAJ&source=gbs_api"
225,"Data Teams","Jesse Anderson","Not Available","No Rating","http://books.google.co.in/books?id=6cMhzgEACAAJ&dq=data+engineering&hl=&source=gbs_api"
226,"Advances in Artificial Intelligence and Data Engineering","Niranjan N. Chiplunkar, Takanori Fukao","Not Available","No Rating","http://books.google.co.in/books?id=iIhezgEACAAJ&dq=data+engineering&hl=&source=gbs_api"
227,"Data Engineering and Data Science","Kukatlapalli Pradeep Kumar, Aynur Unal, Vinay Jha Pillai, Hari Murthy, M. Niranjanamurthy","Not Available","No Rating","https://play.google.com/store/books/details?id=5wfUEAAAQBAJ&source=gbs_api"
228,"The Definitive Guide to Azure Data Engineering","Ron C. L'Esteve","Not Available","No Rating","http://books.google.co.in/books?id=vWx1zgEACAAJ&dq=data+engineering&hl=&source=gbs_api"
229,"Data Engineering","Yupo Chan, John Talburt, Terry M. Talley","Not Available","No Rating","https://play.google.com/store/books/details?id=IpEfAjPItbwC&source=gbs_api"
230,"Azure Data Engineer Associate Certification Guide","Newton Alex","Not Available","No Rating","https://play.google.com/store/books/details?id=NCdcEAAAQBAJ&source=gbs_api"
231,"Big Data Application in Power Systems","Reza Arghandeh, Yuxun Zhou","Not Available","No Rating","https://play.google.com/store/books/details?id=tBHtEAAAQBAJ&source=gbs_api"
232,"Perspectives on Data Science for Software Engineering","Tim Menzies, Laurie Williams, Thomas Zimmermann","Not Available","5","https://play.google.com/store/books/details?id=Kc7nCQAAQBAJ&source=gbs_api"
233,"Site Reliability Engineering","Niall Richard Murphy, Betsy Beyer, Chris Jones, Jennifer Petoff","Not Available","5","https://play.google.com/store/books/details?id=tYrPCwAAQBAJ&source=gbs_api"
234,"Ultimate Data Engineering with Databricks","Mayank Malhotra","Not Available","No Rating","https://play.google.com/store/books/details?id=9hb1EAAAQBAJ&source=gbs_api"
235,"Data-Driven Engineering Design","Ang Liu, Yuchen Wang, Xingzhi Wang","Not Available","No Rating","https://play.google.com/store/books/details?id=glJHEAAAQBAJ&source=gbs_api"
236,"Recent Advances in Artificial Intelligence and Data Engineering","Pushparaj Shetty D., Surendra Shetty","Not Available","No Rating","https://play.google.com/store/books/details?id=6bJLEAAAQBAJ&source=gbs_api"
237,"Data Engineering and Intelligent Computing","Suresh Chandra Satapathy, Vikrant Bhateja, K. Srujan Raju, B. Janakiramaiah","Not Available","No Rating","https://play.google.com/store/books/details?id=niYmDwAAQBAJ&source=gbs_api"
238,"Mechanical Engineer's Data Handbook","J. Carvill","Not Available","No Rating","https://play.google.com/store/books/details?id=6-VdBgAAQBAJ&source=gbs_api"
239,"The Self-Service Data Roadmap","Sandeep Uttamchandani","Not Available","No Rating","https://play.google.com/store/books/details?id=pEn8DwAAQBAJ&source=gbs_api"
240,"Data Science from Scratch","Joel Grus","Not Available","5","http://books.google.co.in/books?id=24kdCAAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
241,"Engineering Agile Big-Data Systems","Feeney, Kevin, Davies, Jim, Hellmann, Sebastian","Not Available","No Rating","http://books.google.co.in/books?id=btd8DwAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
242,"Data Science in Engineering and Management","Zdzislaw Polkowski, Sambit Kumar Mishra, Julian Vasilev","Not Available","No Rating","http://books.google.co.in/books?id=_vNUEAAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
243,"Azure Storage, Streaming, and Batch Analytics","Richard L. Nuckolls","Not Available","No Rating","http://books.google.co.in/books?id=BF4BEAAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
244,"Intelligent Data Engineering and Analytics","Suresh Chandra Satapathy, Yu-Dong Zhang, Vikrant Bhateja, Ritanjali Majhi","Not Available","No Rating","https://play.google.com/store/books/details?id=lQ36DwAAQBAJ&source=gbs_api"
245,"The Definitive Guide to Azure Data Engineering","Ron C. L'Esteve","Not Available","No Rating","http://books.google.co.in/books?id=vWx1zgEACAAJ&dq=data+engineering&hl=&source=gbs_api"
246,"Intelligent Data Engineering and Automated Learning – IDEAL 2018","Hujun Yin, David Camacho, Paulo Novais, Antonio J. Tallón-Ballesteros","Not Available","No Rating","https://play.google.com/store/books/details?id=YuN3DwAAQBAJ&source=gbs_api"
247,"Quantitative Methods of Data Analysis for the Physical Sciences and Engineering","Douglas G. Martinson","Not Available","No Rating","http://books.google.co.in/books?id=5jdqDwAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
248,"The Self-Service Data Roadmap","Sandeep Uttamchandani","Not Available","No Rating","https://play.google.com/store/books/details?id=pEn8DwAAQBAJ&source=gbs_api"
249,"Enterprise Big Data Engineering, Analytics, and Management","Atzmueller, Martin","Not Available","No Rating","https://play.google.com/store/books/details?id=P5BJDAAAQBAJ&source=gbs_api"
250,"Modern Data Engineering with Apache Spark","Scott Haines","Not Available","No Rating","http://books.google.co.in/books?id=HmGbzgEACAAJ&dq=data+engineering&hl=&source=gbs_api"
251,"Engineering Agile Big-Data Systems","Feeney, Kevin, Davies, Jim, Hellmann, Sebastian","Not Available","No Rating","http://books.google.co.in/books?id=btd8DwAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
252,"Feature Engineering and Selection","Max Kuhn, Kjell Johnson","Not Available","No Rating","https://play.google.com/store/books/details?id=q5alDwAAQBAJ&source=gbs_api"
253,"Systems, Patterns and Data Engineering with Geometric Calculi","Sebastià Xambó-Descamps","Not Available","No Rating","https://play.google.com/store/books/details?id=RvI4EAAAQBAJ&source=gbs_api"
254,"Data Warehousing and Web Engineering","Becker, Shirley","Not Available","No Rating","https://play.google.com/store/books/details?id=HuwEhB1MT5cC&source=gbs_api"
255,"Deep Learning and Missing Data in Engineering Systems","Collins Achepsah Leke, Tshilidzi Marwala","Not Available","No Rating","http://books.google.co.in/books?id=8H3augEACAAJ&dq=data+engineering&hl=&source=gbs_api"
256,"Azure Storage, Streaming, and Batch Analytics","Richard L. Nuckolls","Not Available","No Rating","http://books.google.co.in/books?id=BF4BEAAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
257,"Big Data in Engineering Applications","Sanjiban Sekhar Roy, Pijush Samui, Ravinesh Deo, Stavros Ntalampiras","Not Available","5","https://play.google.com/store/books/details?id=3XZZDwAAQBAJ&source=gbs_api"
258,"Intelligent Data Engineering and Automated Learning – IDEAL 2020","Cesar Analide, Paulo Novais, David Camacho, Hujun Yin","Not Available","No Rating","https://play.google.com/store/books/details?id=NScGEAAAQBAJ&source=gbs_api"
259,"Foundations of data engineering: concepts, principles and practices","Dr. RVS Praveen","Not Available","No Rating","https://play.google.com/store/books/details?id=rgwtEQAAQBAJ&source=gbs_api"
260,"Quantitative Methods of Data Analysis for the Physical Sciences and Engineering","Douglas G. Martinson","Not Available","No Rating","http://books.google.co.in/books?id=5jdqDwAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
261,"Data Teams","Jesse Anderson","Not Available","No Rating","http://books.google.co.in/books?id=6cMhzgEACAAJ&dq=data+engineering&hl=&source=gbs_api"
262,"Advanced Data Analysis and Modelling in Chemical Engineering","Denis Constales, Gregory S. Yablonsky, Dagmar R. D'hooge, Joris W. Thybaut, Guy B. Marin","Not Available","No Rating","https://play.google.com/store/books/details?id=IQ6dBAAAQBAJ&source=gbs_api"
263,"Big Data Application in Power Systems","Reza Arghandeh, Yuxun Zhou","Not Available","No Rating","https://play.google.com/store/books/details?id=tBHtEAAAQBAJ&source=gbs_api"
264,"Feature Engineering and Selection","Max Kuhn, Kjell Johnson","Not Available","No Rating","https://play.google.com/store/books/details?id=q5alDwAAQBAJ&source=gbs_api"
265,"Data Analytics for Engineering and Construction Project Risk Management","Ivan Damnjanovic, Kenneth Reinschmidt","Not Available","No Rating","https://play.google.com/store/books/details?id=uv-ZDwAAQBAJ&source=gbs_api"
266,"Site Reliability Engineering","Niall Richard Murphy, Betsy Beyer, Chris Jones, Jennifer Petoff","Not Available","5","https://play.google.com/store/books/details?id=tYrPCwAAQBAJ&source=gbs_api"
267,"Data Warehousing Design and Advanced Engineering Applications: Methods for Complex Construction","Bellatreche, Ladjel","Not Available","No Rating","https://play.google.com/store/books/details?id=IsbJEPfJX_0C&source=gbs_api"
268,"Deep Learning and Missing Data in Engineering Systems","Collins Achepsah Leke, Tshilidzi Marwala","Not Available","No Rating","http://books.google.co.in/books?id=8H3augEACAAJ&dq=data+engineering&hl=&source=gbs_api"
269,"Ultimate Data Engineering with Databricks","Mayank Malhotra","Not Available","No Rating","https://play.google.com/store/books/details?id=9hb1EAAAQBAJ&source=gbs_api"
270,"Architecting Modern Data Platforms","Jan Kunigk, Ian Buss, Paul Wilkinson, Lars George","Not Available","No Rating","https://play.google.com/store/books/details?id=1qd9DwAAQBAJ&source=gbs_api"
271,"Data Engineering","Yupo Chan, John Talburt, Terry M. Talley","Not Available","No Rating","https://play.google.com/store/books/details?id=IpEfAjPItbwC&source=gbs_api"
272,"Foundations of data engineering: concepts, principles and practices","Dr. RVS Praveen","Not Available","No Rating","https://play.google.com/store/books/details?id=rgwtEQAAQBAJ&source=gbs_api"
273,"Data Teams","Jesse Anderson","Not Available","No Rating","http://books.google.co.in/books?id=6cMhzgEACAAJ&dq=data+engineering&hl=&source=gbs_api"
274,"Sharing Data and Models in Software Engineering","Tim Menzies, Ekrem Kocaguneli, Burak Turhan, Leandro Minku, Fayola Peters","Not Available","No Rating","https://play.google.com/store/books/details?id=Qj3LAwAAQBAJ&source=gbs_api"
275,"Big Data Application in Power Systems","Reza Arghandeh, Yuxun Zhou","Not Available","No Rating","https://play.google.com/store/books/details?id=tBHtEAAAQBAJ&source=gbs_api"
276,"Site Reliability Engineering","Niall Richard Murphy, Betsy Beyer, Chris Jones, Jennifer Petoff","Not Available","5","https://play.google.com/store/books/details?id=tYrPCwAAQBAJ&source=gbs_api"
277,"Reference Data for Engineers","Mac E. Van Valkenburg, Wendy M. Middleton","Not Available","5","http://books.google.co.in/books?id=R67HARlhisYC&dq=data+engineering&hl=&source=gbs_api"
278,"Ultimate Data Engineering with Databricks","Mayank Malhotra","Not Available","No Rating","https://play.google.com/store/books/details?id=9hb1EAAAQBAJ&source=gbs_api"
279,"Data Engineering","Yupo Chan, John Talburt, Terry M. Talley","Not Available","No Rating","https://play.google.com/store/books/details?id=IpEfAjPItbwC&source=gbs_api"
280,"Engineering Data on Mixing","Reiji Reiji Mezaki, Masafumi Masafumi Mochizuki, Kohei Ogawa","Not Available","No Rating","https://play.google.com/store/books/details?id=6PDnxdmwlKUC&source=gbs_api"
281,"Data Engineering and Data Science","Kukatlapalli Pradeep Kumar, Aynur Unal, Vinay Jha Pillai, Hari Murthy, M. Niranjanamurthy","Not Available","No Rating","https://play.google.com/store/books/details?id=5wfUEAAAQBAJ&source=gbs_api"
282,"Mechanical Engineer's Data Handbook","J. Carvill","Not Available","No Rating","https://play.google.com/store/books/details?id=6-VdBgAAQBAJ&source=gbs_api"
283,"Recent Advances in Artificial Intelligence and Data Engineering","Pushparaj Shetty D., Surendra Shetty","Not Available","No Rating","https://play.google.com/store/books/details?id=6bJLEAAAQBAJ&source=gbs_api"
284,"Intelligent Data Engineering and Automated Learning – IDEAL 2018","Hujun Yin, David Camacho, Paulo Novais, Antonio J. Tallón-Ballesteros","Not Available","No Rating","https://play.google.com/store/books/details?id=YuN3DwAAQBAJ&source=gbs_api"
285,"Data Science in Engineering and Management","Zdzislaw Polkowski, Sambit Kumar Mishra, Julian Vasilev","Not Available","No Rating","http://books.google.co.in/books?id=_vNUEAAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
286,"The Definitive Guide to Azure Data Engineering","Ron C. L'Esteve","Not Available","No Rating","http://books.google.co.in/books?id=vWx1zgEACAAJ&dq=data+engineering&hl=&source=gbs_api"
