"id","title","authors","price","rating","link"
34,"Engineering Data on Mixing","Reiji Reiji Mezaki, Masafumi Masafumi Mochizuki, Kohei Ogawa","Not Available","No Rating","https://play.google.com/store/books/details?id=6PDnxdmwlKUC&source=gbs_api"
35,"Data Engineering and Data Science","Kukatlapalli Pradeep Kumar, Aynur Unal, Vinay Jha Pillai, Hari Murthy, M. Niranjanamurthy","Not Available","No Rating","https://play.google.com/store/books/details?id=5wfUEAAAQBAJ&source=gbs_api"
36,"Recent Advances in Artificial Intelligence and Data Engineering","Pushparaj Shetty D., Surendra Shetty","Not Available","No Rating","https://play.google.com/store/books/details?id=6bJLEAAAQBAJ&source=gbs_api"
37,"Data Science in Engineering and Management","Zdzislaw Polkowski, Sambit Kumar Mishra, Julian Vasilev","Not Available","No Rating","http://books.google.co.in/books?id=_vNUEAAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
38,"The Definitive Guide to Azure Data Engineering","Ron C. L'Esteve","Not Available","No Rating","http://books.google.co.in/books?id=vWx1zgEACAAJ&dq=data+engineering&hl=&source=gbs_api"
39,"The Self-Service Data Roadmap","Sandeep Uttamchandani","Not Available","No Rating","https://play.google.com/store/books/details?id=pEn8DwAAQBAJ&source=gbs_api"
40,"Engineering Agile Big-Data Systems","Feeney, Kevin, Davies, Jim, Hellmann, Sebastian","Not Available","No Rating","http://books.google.co.in/books?id=btd8DwAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
41,"Azure Storage, Streaming, and Batch Analytics","Richard L. Nuckolls","Not Available","No Rating","http://books.google.co.in/books?id=BF4BEAAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
42,"Quantitative Methods of Data Analysis for the Physical Sciences and Engineering","Douglas G. Martinson","Not Available","No Rating","http://books.google.co.in/books?id=5jdqDwAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
43,"Feature Engineering and Selection","Max Kuhn, Kjell Johnson","Not Available","No Rating","https://play.google.com/store/books/details?id=q5alDwAAQBAJ&source=gbs_api"
44,"Deep Learning and Missing Data in Engineering Systems","Collins Achepsah Leke, Tshilidzi Marwala","Not Available","No Rating","http://books.google.co.in/books?id=8H3augEACAAJ&dq=data+engineering&hl=&source=gbs_api"
45,"Foundations of data engineering: concepts, principles and practices","Dr. RVS Praveen","Not Available","No Rating","https://play.google.com/store/books/details?id=rgwtEQAAQBAJ&source=gbs_api"
46,"Data Teams","Jesse Anderson","Not Available","No Rating","http://books.google.co.in/books?id=6cMhzgEACAAJ&dq=data+engineering&hl=&source=gbs_api"
47,"Big Data Application in Power Systems","Reza Arghandeh, Yuxun Zhou","Not Available","No Rating","https://play.google.com/store/books/details?id=tBHtEAAAQBAJ&source=gbs_api"
48,"Site Reliability Engineering","Niall Richard Murphy, Betsy Beyer, Chris Jones, Jennifer Petoff","Not Available","5","https://play.google.com/store/books/details?id=tYrPCwAAQBAJ&source=gbs_api"
49,"Ultimate Data Engineering with Databricks","Mayank Malhotra","Not Available","No Rating","https://play.google.com/store/books/details?id=9hb1EAAAQBAJ&source=gbs_api"
50,"Data Engineering","Yupo Chan, John Talburt, Terry M. Talley","Not Available","No Rating","https://play.google.com/store/books/details?id=IpEfAjPItbwC&source=gbs_api"
51,"Data Engineering on Azure","Vlad Riscutia","Not Available","No Rating","http://books.google.co.in/books?id=q1Q5EAAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
52,"Data Engineering with Python","Paul Crickard","Not Available","No Rating","https://play.google.com/store/books/details?id=9RYFEAAAQBAJ&source=gbs_api"
53,"Data Engineering with Google Cloud Platform","Adi Wijaya","Not Available","No Rating","https://play.google.com/store/books/details?id=AH9gEAAAQBAJ&source=gbs_api"
54,"Data Engineering with Apache Spark, Delta Lake, and Lakehouse","Manoj Kukreja, Danil Zburivsky","Not Available","No Rating","https://play.google.com/store/books/details?id=XiJEEAAAQBAJ&source=gbs_api"
55,"Fundamentals of Data Engineering","Joe Reis, Matt Housley","Not Available","No Rating","http://books.google.co.in/books?id=3qd2EAAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
56,"97 Things Every Data Engineer Should Know","Tobias Macey","Not Available","No Rating","https://play.google.com/store/books/details?id=ZTQzEAAAQBAJ&source=gbs_api"
57,"Data Engineering on Azure","Vlad Riscutia","Not Available","No Rating","http://books.google.co.in/books?id=q1Q5EAAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
58,"The Rails Way","Obie Fernandez","Not Available","No Rating","http://books.google.co.in/books?id=bSfoGQkZYcQC&dq=data+engineering&hl=&source=gbs_api"
59,"Data Engineering with Python","Paul Crickard","Not Available","No Rating","https://play.google.com/store/books/details?id=9RYFEAAAQBAJ&source=gbs_api"
60,"Data Engineering with Google Cloud Platform","Adi Wijaya","Not Available","No Rating","https://play.google.com/store/books/details?id=AH9gEAAAQBAJ&source=gbs_api"
61,"The Pragmatic Programmer","David Thomas, Andrew Hunt","Not Available","No Rating","https://play.google.com/store/books/details?id=LhOlDwAAQBAJ&source=gbs_api"
62,"Data Pipelines Pocket Reference","James Densmore","Not Available","No Rating","http://books.google.co.in/books?id=SxgcEAAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
63,"Data Engineering with Apache Spark, Delta Lake, and Lakehouse","Manoj Kukreja, Danil Zburivsky","Not Available","No Rating","https://play.google.com/store/books/details?id=XiJEEAAAQBAJ&source=gbs_api"
64,"Official Google Cloud Certified Professional Data Engineer Study Guide","Dan Sullivan","Not Available","No Rating","https://play.google.com/store/books/details?id=NDXnDwAAQBAJ&source=gbs_api"
65,"Fundamentals of Data Engineering","Joe Reis, Matt Housley","Not Available","No Rating","http://books.google.co.in/books?id=3qd2EAAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
66,"Data-Driven Science and Engineering","Steven L. Brunton, J. Nathan Kutz","Not Available","No Rating","http://books.google.co.in/books?id=rxNkEAAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
67,"97 Things Every Data Engineer Should Know","Tobias Macey","Not Available","No Rating","https://play.google.com/store/books/details?id=ZTQzEAAAQBAJ&source=gbs_api"
68,"Azure Data Engineering Cookbook","Ahmad Osama","Not Available","No Rating","https://play.google.com/store/books/details?id=G3UjEAAAQBAJ&source=gbs_api"
69,"The Rails Way","Obie Fernandez","Not Available","No Rating","http://books.google.co.in/books?id=bSfoGQkZYcQC&dq=data+engineering&hl=&source=gbs_api"
70,"Data Engineering and Communication Technology","K. Ashoka Reddy, B. Rama Devi, Boby George, K. Srujan Raju","Not Available","No Rating","https://play.google.com/store/books/details?id=48wvEAAAQBAJ&source=gbs_api"
71,"The Pragmatic Programmer","David Thomas, Andrew Hunt","Not Available","No Rating","https://play.google.com/store/books/details?id=LhOlDwAAQBAJ&source=gbs_api"
72,"Emerging Research in Data Engineering Systems and Computer Communications","P. Venkata Krishna, Mohammad S. Obaidat","Not Available","No Rating","https://play.google.com/store/books/details?id=KIvPDwAAQBAJ&source=gbs_api"
73,"Data Pipelines Pocket Reference","James Densmore","Not Available","No Rating","http://books.google.co.in/books?id=SxgcEAAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
74,"Advances in Artificial Intelligence and Data Engineering","Niranjan N. Chiplunkar, Takanori Fukao","Not Available","No Rating","http://books.google.co.in/books?id=iIhezgEACAAJ&dq=data+engineering&hl=&source=gbs_api"
75,"Data Engineering on Azure","Vlad Riscutia","Not Available","No Rating","http://books.google.co.in/books?id=q1Q5EAAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
294,"Mechanical Engineer's Data Handbook","J. Carvill","Not Available","No Rating","https://play.google.com/store/books/details?id=6-VdBgAAQBAJ&source=gbs_api"
76,"Official Google Cloud Certified Professional Data Engineer Study Guide","Dan Sullivan","Not Available","No Rating","https://play.google.com/store/books/details?id=NDXnDwAAQBAJ&source=gbs_api"
77,"Azure Data Engineer Associate Certification Guide","Newton Alex","Not Available","No Rating","https://play.google.com/store/books/details?id=NCdcEAAAQBAJ&source=gbs_api"
78,"Data Engineering with Python","Paul Crickard","Not Available","No Rating","https://play.google.com/store/books/details?id=9RYFEAAAQBAJ&source=gbs_api"
79,"Data-Driven Science and Engineering","Steven L. Brunton, J. Nathan Kutz","Not Available","No Rating","http://books.google.co.in/books?id=rxNkEAAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
80,"Data Engineering on Azure","Vlad Riscutia","Not Available","No Rating","http://books.google.co.in/books?id=q1Q5EAAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
81,"Perspectives on Data Science for Software Engineering","Tim Menzies, Laurie Williams, Thomas Zimmermann","Not Available","5","https://play.google.com/store/books/details?id=Kc7nCQAAQBAJ&source=gbs_api"
82,"Data Engineering with Google Cloud Platform","Adi Wijaya","Not Available","No Rating","https://play.google.com/store/books/details?id=AH9gEAAAQBAJ&source=gbs_api"
83,"Data-Driven Engineering Design","Ang Liu, Yuchen Wang, Xingzhi Wang","Not Available","No Rating","https://play.google.com/store/books/details?id=glJHEAAAQBAJ&source=gbs_api"
84,"Azure Data Engineering Cookbook","Ahmad Osama","Not Available","No Rating","https://play.google.com/store/books/details?id=G3UjEAAAQBAJ&source=gbs_api"
85,"Data Engineering with Python","Paul Crickard","Not Available","No Rating","https://play.google.com/store/books/details?id=9RYFEAAAQBAJ&source=gbs_api"
86,"Data Engineering and Intelligent Computing","Suresh Chandra Satapathy, Vikrant Bhateja, K. Srujan Raju, B. Janakiramaiah","Not Available","No Rating","https://play.google.com/store/books/details?id=niYmDwAAQBAJ&source=gbs_api"
87,"Concise Metals Engineering Data Book","Joseph R. Davis","Not Available","No Rating","https://play.google.com/store/books/details?id=A_SS2k2EsJ0C&source=gbs_api"
88,"Data Engineering with Apache Spark, Delta Lake, and Lakehouse","Manoj Kukreja, Danil Zburivsky","Not Available","No Rating","https://play.google.com/store/books/details?id=XiJEEAAAQBAJ&source=gbs_api"
89,"Data Engineering with Google Cloud Platform","Adi Wijaya","Not Available","No Rating","https://play.google.com/store/books/details?id=AH9gEAAAQBAJ&source=gbs_api"
90,"Data Engineering and Communication Technology","K. Ashoka Reddy, B. Rama Devi, Boby George, K. Srujan Raju","Not Available","No Rating","https://play.google.com/store/books/details?id=48wvEAAAQBAJ&source=gbs_api"
91,"Fundamentals of Data Engineering","Joe Reis, Matt Housley","Not Available","No Rating","http://books.google.co.in/books?id=3qd2EAAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
92,"Data Science from Scratch","Joel Grus","Not Available","5","http://books.google.co.in/books?id=24kdCAAAQBAJ&dq=data+engineering&hl=&source=gbs_api"
